fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality_label_encoded
-0.6309591376174711,1.2502855939600448,-1.6481945940898117,-0.5140636252643471,-0.15013635535407097,-0.3606856832310249,-0.2394171016137554,0.7616082482154561,1.439858456788349,-0.8361292101241385,-1.206563545735153,1
-0.3953178781500637,2.3372675648585073,-1.6481945940898117,0.048171463293915855,0.41217286867832276,1.004831276880883,0.8229886160485815,0.25019946295192763,-0.5782556993580421,-0.04805849181542428,-0.8917892955506019,1
-0.3953178781500637,1.6126129175928658,-1.4417308235660689,-0.19278643180248273,0.2588158075785789,0.02946201965809158,0.4044651515149337,0.35248122000462195,-0.18765295945874264,-0.24507617139260301,-0.8917892955506019,1
1.6076328273229021,-1.2860056714696995,1.2422981932425923,-0.5140636252643471,-0.1756958655373616,0.22453587110264983,0.5976298274535403,0.8638900052681504,-0.8386575259575769,-0.7047840904060201,-0.8917892955506019,2
-0.6309591376174711,1.2502855939600448,-1.6481945940898117,-0.5140636252643471,-0.15013635535407097,-0.3606856832310249,-0.2394171016137554,0.7616082482154561,1.439858456788349,-0.8361292101241385,-1.206563545735153,1
-0.6309591376174711,1.008734044871498,-1.6481945940898117,-0.5943829236298132,-0.1756958655373616,-0.16561183178646666,-0.04625242567514869,0.7616082482154561,1.439858456788349,-0.8361292101241385,-1.206563545735153,1
-0.3364075632832115,0.6464067212386772,-1.3384989383041972,-0.7550215203607454,-0.3290529266371051,0.02946201965809158,0.5654357147971059,0.045635948846482165,0.07274886714079225,-1.492854808714734,-1.206563545735153,1
-0.6898694524843234,0.9483461575993614,-1.6481945940898117,-1.0762987138226099,-0.4312909673702677,0.02946201965809158,-0.6579405661474033,-0.8748998646278237,0.6586529769897472,-1.4271822488556747,-0.7344021704583272,2
-0.3953178781500637,0.5256309466944035,-1.54496270882794,-0.433744326898881,-0.2268148859039429,-0.5557595346755831,-0.7545229041167066,0.25019946295192763,0.4633516070400946,-0.7704566502650797,-1.1278699831890155,2
-0.5720488227506194,0.042527848517309494,0.20997934062387633,2.85934690608523,-0.27793390627052417,0.22453587110264983,1.9497825590237874,0.7616082482154561,0.3982511503902123,0.7400122264932899,-0.34093435772763886,1
